IssueKey,NaturalKey,ModifiedByPersonKey,CreatedDate,OccurredDate,IdentifiedDate,ResolutionDate,CreatedDateKey,Title,Type,CurrentStatus,IsExternalIssue,ImpactsCustomer,OwnerCount,DaysToIdentify,DaysToResolve,IssueAgeDays,IsOpen,IsOrphaned,AgeBucket
118,bd9e3867-a1ac-4985-ab6a-77f6fae23a34,1151,2024-06-27,2024-05-25,2025-12-31,2025-07-07,20240627,EV-646944 - Implement 24/7 Vortals,risk_event,raised,false,false,2,585,0,0,true,false,New (<7 Days)
119,be7fda8c-e16c-4b21-b2b2-412c99d5510a,734,2025-08-28,2024-09-26,2024-03-15,2025-08-04,20250828,EV-950552 - Utilize User-Centric Methodologies,issue,open,false,false,3,0,507,656,true,false,Critical (>30 Days)
120,c11cda06-18e7-44e1-9d0b-509f1d07d099,205,2025-01-01,2024-12-12,2024-12-20,2025-02-26,20250101,EV-925246 - Cultivate Efficient Systems,risk_event,closed,false,false,2,8,68,376,false,false,Closed
121,c40c77cf-fc82-4547-9e3c-cbba8cb6e0ca,845,2025-01-23,2024-10-14,2024-08-22,2025-11-14,20250123,EV-502549 - E-Enable Web-Enabled Users,risk_event,in_review,false,false,3,0,449,496,true,false,Critical (>30 Days)
122,c48d1155-6e33-4bf4-ae8e-b1ed996d70fa,929,2024-03-08,2025-02-22,2024-07-03,2025-10-31,20240308,EV-569526 - Deploy Value-Added Deliverables,issue,closed,true,,3,0,485,546,false,false,Closed
123,c6f8ad24-9bae-4dfb-b0c3-491929c63f1c,536,2025-02-20,2025-10-31,2025-03-02,2025-06-23,20250220,EV-426961 - Scale Leading-Edge Niches,risk_event,closed,,false,1,0,113,304,false,false,Closed
124,c80c4b6e-671f-4c8f-9ed9-a8ce44c8ad90,767,2024-10-13,2024-06-20,2024-08-24,2025-12-08,20241013,EV-227329 - Synthesize Front-End Supply-Chains,risk_event,raised,false,,1,65,471,494,true,false,Critical (>30 Days)
125,ca6c8bbe-d9bd-4e5e-a047-9f9db72d7f86,207,2024-01-22,2024-03-19,2024-10-20,2025-09-16,20240122,EV-767950 - Target Innovative Info-Mediaries,risk_event,raised,true,true,3,215,331,437,true,false,Critical (>30 Days)
126,ccc944bb-3edd-494c-9d21-099687b07deb,727,2024-10-01,2025-07-15,2025-09-15,2025-09-23,20241001,EV-396784 - Integrate Frictionless Action-Items,issue,on_hold,false,,2,62,8,107,true,false,Critical (>30 Days)
127,d077ba23-c8a8-45da-9d83-71758e31d2b6,415,2024-11-30,2024-01-10,2025-03-16,2025-03-02,20241130,EV-355296 - Transform Back-End Paradigms,risk_event,open,,false,3,431,0,290,true,false,Critical (>30 Days)
128,d257ac61-57fc-4e46-a455-e3ce3d0a8a23,847,2024-11-06,2025-12-29,2025-06-05,2025-07-19,20241106,EV-137615 - Scale Cutting-Edge Initiatives,risk_event,closed,false,true,1,0,44,209,false,false,Closed
129,d4bb25f9-ad9e-49fa-8f7e-63a65d40665a,131,2025-12-04,2024-06-15,2025-01-06,2025-06-09,20251204,EV-167327 - Re-Contextualize Innovative E-Services,issue,raised,true,true,1,205,154,359,true,false,Critical (>30 Days)
130,d9168fa7-8840-44e4-989e-5afc23ed53d8,893,2024-04-05,2024-12-01,2025-07-20,2025-05-11,20240405,EV-671773 - Aggregate B2B Action-Items,incident,raised,,,1,231,0,164,true,false,Critical (>30 Days)
131,d9b84cca-490b-4b53-a658-6954ae48e6ba,744,2024-11-10,2025-08-20,2024-11-03,2025-03-16,20241110,EV-764145 - Mesh Back-End Metrics,risk_event,in_review,false,false,2,0,133,423,true,false,Critical (>30 Days)
132,da02497b-05eb-4e16-9376-8cf2387c0535,782,2024-02-29,2025-10-24,2024-10-19,2025-09-10,20240229,EV-818828 - Architect Scalable Functionalities,issue,on_hold,true,true,3,0,326,438,true,false,Critical (>30 Days)
133,db0c3641-8f9d-4275-b9f3-05d845875b70,802,2025-09-14,2025-09-05,2025-08-12,2025-10-01,20250914,EV-808759 - Envisioneer B2B Niches,risk_event,open,false,true,3,0,50,141,true,false,Critical (>30 Days)
134,dde1afdc-ae86-459e-a83a-de5ca3d9e8ca,737,2024-11-10,2025-05-13,2024-02-22,2025-02-11,20241110,EV-570103 - Engineer Granular Eyeballs,risk_event,in_review,,true,1,0,355,678,true,false,Critical (>30 Days)
135,dfe1c44f-979f-4f7c-a447-9f3c2b3ee8e8,855,2024-11-02,2024-02-06,2024-01-20,2025-11-15,20241102,EV-749680 - Incubate Best-Of-Breed Functionalities,issue,open,true,false,2,0,665,711,true,false,Critical (>30 Days)
136,e078f708-8b25-4cb4-a4e0-52db42378262,1258,2025-11-20,2024-04-15,2024-11-12,2025-09-08,20251120,EV-178843 - Transition Seamless Deliverables,risk_event,on_hold,,,2,211,300,414,true,false,Critical (>30 Days)
137,e2c4097f-7ae1-4a2b-8cf2-ea9581788ce1,926,2025-02-23,2025-03-27,2024-05-09,2025-12-01,20250223,EV-669722 - Exploit Transparent E-Markets,risk_event,open,,,3,0,571,601,true,false,Critical (>30 Days)
138,e42a05f3-040a-4289-80c5-082af80ec074,907,2025-09-28,2025-10-23,2025-03-26,2025-02-23,20250928,EV-652900 - Unleash Intuitive Architectures,incident,on_hold,true,false,2,0,0,280,true,false,Critical (>30 Days)
139,e6797bf3-c27f-49a4-bf0e-0d07561e3049,866,2025-07-26,2025-03-10,2025-01-08,2026-01-13,20250726,EV-326721 - Target Back-End Supply-Chains,risk_event,in_review,,true,2,0,370,357,true,false,Critical (>30 Days)
140,e844a131-4b01-4e74-b64e-11d16c21144d,627,2025-12-31,2025-04-14,2024-06-12,2025-06-25,20251231,EV-245987 - Unleash Magnetic Deliverables,incident,on_hold,,false,3,0,378,567,true,false,Critical (>30 Days)
141,ead742f6-b4b5-4d46-89a1-20a230875b15,273,2025-05-27,2025-06-28,2025-04-19,2025-11-22,20250527,EV-205852 - Synergize Back-End Architectures,incident,on_hold,,,3,0,217,256,true,false,Critical (>30 Days)
142,ed0dd99c-a357-4406-8713-216a01f1d18f,629,2025-02-22,2024-09-02,2024-09-26,2025-05-07,20250222,EV-903255 - Transform Transparent Bandwidth,risk_event,raised,,false,3,24,223,461,true,false,Critical (>30 Days)
143,f15cedd1-bbeb-43fa-823c-c3d8681ce431,308,2024-08-06,2024-03-22,2025-07-11,2025-03-16,20240806,EV-838623 - Repurpose Compelling Relationships,issue,open,,true,2,476,0,173,true,false,Critical (>30 Days)
144,f3f21574-64df-47b5-b256-1b0a9cf9ccd3,340,2024-10-12,2024-07-17,2025-01-02,2025-06-22,20241012,EV-152880 - Visualize Seamless Applications,incident,raised,true,true,2,169,171,363,true,false,Critical (>30 Days)
145,f4a264df-744e-4924-b994-1a85c17f686f,1199,2025-05-31,2024-08-25,2024-04-20,2025-11-07,20250531,EV-898397 - Incubate Web-Enabled Supply-Chains,incident,raised,false,,3,0,566,620,true,false,Critical (>30 Days)
146,f5266d7a-a9be-4a8d-a0b0-ee3213a7e70e,812,2024-11-25,2024-03-30,2024-09-04,2025-11-12,20241125,EV-727185 - Leverage Bleeding-Edge Convergence,issue,on_hold,,,2,158,434,483,true,false,Critical (>30 Days)
147,f6053be9-ef5a-4d58-9e08-9ae9fef4c9a6,334,2024-04-30,2025-01-20,2024-06-19,2025-09-30,20240430,EV-335304 - Disintermediate Cross-Platform Experiences,risk_event,on_hold,,true,2,0,468,560,true,false,Critical (>30 Days)
148,f78ddc4b-9b9e-46c2-99d1-c275feed295a,662,2025-04-20,2025-04-21,2025-11-03,2025-12-20,20250420,EV-930261 - Syndicate Sticky Communities,risk_event,open,,false,2,196,47,58,true,false,Critical (>30 Days)
149,fb28db24-b9c3-48e8-8c09-1e81f836d3d6,886,2025-05-15,2024-04-13,2025-03-30,2025-12-22,20250515,EV-708044 - Unleash Leading-Edge Info-Mediaries,issue,on_hold,false,false,3,351,267,276,true,false,Critical (>30 Days)
150,fc40e6e9-4342-4100-8619-7d3b62487c50,13,2025-11-01,2024-05-04,2025-11-29,2025-06-21,20251101,EV-218056 - Orchestrate Efficient Users,issue,open,,,3,574,0,32,true,false,Critical (>30 Days)
